number,season,episode,airdate,title,link
73,3,21,05 May 04,"E²","https://www.tvmaze.com/episodes/63331/star-trek-enterprise-3x21-e"
74,3,22,12 May 04,"The Council","https://www.tvmaze.com/episodes/63332/star-trek-enterprise-3x22-the-council"
75,3,23,19 May 04,"Countdown","https://www.tvmaze.com/episodes/63333/star-trek-enterprise-3x23-countdown"
76,3,24,26 May 04,"Zero Hour","https://www.tvmaze.com/episodes/63334/star-trek-enterprise-3x24-zero-hour"
77,4,1,08 Oct 04,"Storm Front (1)","https://www.tvmaze.com/episodes/63335/star-trek-enterprise-4x01-storm-front-1"
78,4,2,15 Oct 04,"Storm Front (2)","https://www.tvmaze.com/episodes/63336/star-trek-enterprise-4x02-storm-front-2"
79,4,3,22 Oct 04,"Home","https://www.tvmaze.com/episodes/63337/star-trek-enterprise-4x03-home"
80,4,4,29 Oct 04,"Borderland (1)","https://www.tvmaze.com/episodes/63338/star-trek-enterprise-4x04-borderland-1"
81,4,5,05 Nov 04,"Cold Station 12 (2)","https://www.tvmaze.com/episodes/63339/star-trek-enterprise-4x05-cold-station-12-2"
82,4,6,12 Nov 04,"The Augments (3)","https://www.tvmaze.com/episodes/63340/star-trek-enterprise-4x06-the-augments-3"
83,4,7,19 Nov 04,"The Forge (1)","https://www.tvmaze.com/episodes/63341/star-trek-enterprise-4x07-the-forge-1"
84,4,8,26 Nov 04,"Awakening (2)","https://www.tvmaze.com/episodes/63342/star-trek-enterprise-4x08-awakening-2"
85,4,9,03 Dec 04,"Kir'Shara (3)","https://www.tvmaze.com/episodes/63343/star-trek-enterprise-4x09-kirshara-3"
86,4,10,14 Jan 05,"Daedalus","https://www.tvmaze.com/episodes/63344/star-trek-enterprise-4x10-daedalus"
87,4,11,21 Jan 05,"Observer Effect","https://www.tvmaze.com/episodes/63345/star-trek-enterprise-4x11-observer-effect"
88,4,12,28 Jan 05,"Babel One (1)","https://www.tvmaze.com/episodes/63346/star-trek-enterprise-4x12-babel-one-1"
89,4,13,04 Feb 05,"United (2)","https://www.tvmaze.com/episodes/63347/star-trek-enterprise-4x13-united-2"
90,4,14,11 Feb 05,"The Aenar (3)","https://www.tvmaze.com/episodes/63348/star-trek-enterprise-4x14-the-aenar-3"
91,4,15,18 Feb 05,"Affliction (1)","https://www.tvmaze.com/episodes/63349/star-trek-enterprise-4x15-affliction-1"
92,4,16,25 Feb 05,"Divergence (2)","https://www.tvmaze.com/episodes/63350/star-trek-enterprise-4x16-divergence-2"
93,4,17,15 Apr 05,"Bound","https://www.tvmaze.com/episodes/63351/star-trek-enterprise-4x17-bound"
94,4,18,22 Apr 05,"In a Mirror, Darkly (1)","https://www.tvmaze.com/episodes/63352/star-trek-enterprise-4x18-in-a-mirror-darkly-1"
95,4,19,29 Apr 05,"In a Mirror, Darkly (2)","https://www.tvmaze.com/episodes/63353/star-trek-enterprise-4x19-in-a-mirror-darkly-2"
96,4,20,06 May 05,"Demons (1)","https://www.tvmaze.com/episodes/63354/star-trek-enterprise-4x20-demons-1"
97,4,21,13 May 05,"Terra Prime (2)","https://www.tvmaze.com/episodes/63355/star-trek-enterprise-4x21-terra-prime-2"
98,4,22,13 May 05,"These Are the Voyages...","https://www.tvmaze.com/episodes/63356/star-trek-enterprise-4x22-these-are-the-voyages"
