number,season,episode,airdate,title,link
93,4,19,01 Apr 91,"The Nth Degree","https://www.tvmaze.com/episodes/44548/star-trek-the-next-generation-4x19-the-nth-degree"
94,4,20,22 Apr 91,"Qpid","https://www.tvmaze.com/episodes/44549/star-trek-the-next-generation-4x20-qpid"
95,4,21,29 Apr 91,"The Drumhead","https://www.tvmaze.com/episodes/44550/star-trek-the-next-generation-4x21-the-drumhead"
96,4,22,06 May 91,"Half a Life","https://www.tvmaze.com/episodes/44551/star-trek-the-next-generation-4x22-half-a-life"
97,4,23,13 May 91,"The Host","https://www.tvmaze.com/episodes/44552/star-trek-the-next-generation-4x23-the-host"
98,4,24,27 May 91,"The Mind's Eye","https://www.tvmaze.com/episodes/44553/star-trek-the-next-generation-4x24-the-minds-eye"
99,4,25,03 Jun 91,"In Theory","https://www.tvmaze.com/episodes/44554/star-trek-the-next-generation-4x25-in-theory"
100,4,26,17 Jun 91,"Redemption","https://www.tvmaze.com/episodes/44555/star-trek-the-next-generation-4x26-redemption"
101,5,1,23 Sep 91,"Redemption II","https://www.tvmaze.com/episodes/44556/star-trek-the-next-generation-5x01-redemption-ii"
102,5,2,30 Sep 91,"Darmok","https://www.tvmaze.com/episodes/44557/star-trek-the-next-generation-5x02-darmok"
103,5,3,07 Oct 91,"Ensign Ro","https://www.tvmaze.com/episodes/44558/star-trek-the-next-generation-5x03-ensign-ro"
104,5,4,14 Oct 91,"Silicon Avatar","https://www.tvmaze.com/episodes/44559/star-trek-the-next-generation-5x04-silicon-avatar"
105,5,5,21 Oct 91,"Disaster","https://www.tvmaze.com/episodes/44560/star-trek-the-next-generation-5x05-disaster"
106,5,6,28 Oct 91,"The Game","https://www.tvmaze.com/episodes/44561/star-trek-the-next-generation-5x06-the-game"
107,5,7,04 Nov 91,"Unification I","https://www.tvmaze.com/episodes/44562/star-trek-the-next-generation-5x07-unification-i"
108,5,8,11 Nov 91,"Unification II","https://www.tvmaze.com/episodes/44563/star-trek-the-next-generation-5x08-unification-ii"
109,5,9,18 Nov 91,"A Matter of Time","https://www.tvmaze.com/episodes/44564/star-trek-the-next-generation-5x09-a-matter-of-time"
110,5,10,06 Jan 92,"New Ground","https://www.tvmaze.com/episodes/44565/star-trek-the-next-generation-5x10-new-ground"
111,5,11,27 Jan 92,"Hero Worship","https://www.tvmaze.com/episodes/44566/star-trek-the-next-generation-5x11-hero-worship"
112,5,12,03 Feb 92,"Violations","https://www.tvmaze.com/episodes/44567/star-trek-the-next-generation-5x12-violations"
113,5,13,10 Feb 92,"The Masterpiece Society","https://www.tvmaze.com/episodes/44568/star-trek-the-next-generation-5x13-the-masterpiece-society"
114,5,14,17 Feb 92,"Conundrum","https://www.tvmaze.com/episodes/44569/star-trek-the-next-generation-5x14-conundrum"
115,5,15,24 Feb 92,"Power Play","https://www.tvmaze.com/episodes/44570/star-trek-the-next-generation-5x15-power-play"
116,5,16,02 Mar 92,"Ethics","https://www.tvmaze.com/episodes/44571/star-trek-the-next-generation-5x16-ethics"
117,5,17,16 Mar 92,"The Outcast","https://www.tvmaze.com/episodes/44572/star-trek-the-next-generation-5x17-the-outcast"
118,5,18,23 Mar 92,"Cause and Effect","https://www.tvmaze.com/episodes/44573/star-trek-the-next-generation-5x18-cause-and-effect"
119,5,19,30 Mar 92,"The First Duty","https://www.tvmaze.com/episodes/44574/star-trek-the-next-generation-5x19-the-first-duty"
120,5,20,20 Apr 92,"Cost of Living","https://www.tvmaze.com/episodes/44575/star-trek-the-next-generation-5x20-cost-of-living"
121,5,21,27 Apr 92,"The Perfect Mate","https://www.tvmaze.com/episodes/44576/star-trek-the-next-generation-5x21-the-perfect-mate"
